instrument,gate_median_ms,tau_ms,policy,rejection_mode,timeout_rate,baseline_pnl_bps,gated_pnl_bps,net_impact_bps,n_foregone,bps_foregone,n_avoided,bps_avoided,n_scaled_timeout,bps_scaled_timeout_repricing_impact,covid_net_impact_bps,own_stress_net_impact_bps,rest_net_impact_bps
XAUUSD,30.0,10.0,S,informed,0.8802681992337165,24.64256975050199,747.6879873757451,723.0454176252433,0,0.0,2,277.14472236898814,919.0,-0.002066848550604926,-743.5893426018149,1240.76724904101,225.86751118604843
XAUUSD,30.0,25.0,H,uninformed,0.5718390804597702,24.64256975050199,2454.234300840728,2429.591731090225,144,21702.28301426211,457,24131.82719882924,,,-1491.268498827973,1908.2790125270553,2012.5812173911431
XAUUSD,30.0,25.0,H,informed,0.5718390804597702,24.64256975050199,3134.8333625836385,3110.1907928331357,144,21702.28301426211,459,24812.446563276855,,,-1359.3293888364396,2047.3954471584966,2422.1247345110787
XAUUSD,30.0,25.0,S,uninformed,0.5718390804597702,24.64256975050199,1320.2449325581656,1295.6023628076641,0,0.0,4,161.64081594547272,597.0,-0.03768397173026774,-745.6400119135191,954.1339108874438,1087.1084638337393
XAUUSD,30.0,25.0,S,informed,0.5718390804597702,24.64256975050199,2000.8439943010762,1976.2014245505745,0,0.0,6,842.2601803930877,597.0,-0.03768397173026774,-613.7009019219857,1093.2503455188853,1496.6519809536753
XAUUSD,30.0,50.0,H,uninformed,0.33045977011494254,24.64256975050199,1803.713789543599,1779.0712197930957,88,12564.578975231409,269,14343.7084011193,,,-695.5580260864148,938.4303150751266,1536.1989308043844
XAUUSD,30.0,50.0,H,informed,0.33045977011494254,24.64256975050199,3117.429606123899,3092.787036373396,86,12494.022782541128,270,15586.888253130317,,,-170.54680400415492,1348.8335747263845,1914.500265651166
XAUUSD,30.0,50.0,S,uninformed,0.33045977011494254,24.64256975050199,1119.356055586719,1094.713485836216,2,70.55619269027977,10,480.99065127138306,345.0,-0.010250303485539645,-347.7907449577355,504.77573461707595,937.7284961768753
XAUUSD,30.0,50.0,S,informed,0.33045977011494254,24.64256975050199,2433.071872167019,2408.4293024165154,0,0.0,11,1724.1705032824007,345.0,-0.010250303485539645,177.2204771245243,915.178994268334,1316.0298310236572
XAUUSD,30.0,100.0,H,uninformed,0.13697318007662834,24.64256975050199,196.28390132828866,171.64133157778565,42,5851.956882963625,115,6023.612108642163,,,-840.0466920899343,547.6173700377564,464.07065362996366
XAUUSD,30.0,100.0,H,informed,0.13697318007662834,24.64256975050199,2575.176549438292,2550.5339796877897,39,5662.746285871692,121,8213.314303425697,,,-122.73909864712451,1184.8127150903324,1488.460363244582
XAUUSD,30.0,100.0,S,uninformed,0.13697318007662834,24.64256975050199,325.57994995129513,300.9373802007918,3,189.21059709193318,11,619.5577018344427,143.0,-0.04989090897882326,-350.75195253534935,309.3452281434712,342.34410459266996
XAUUSD,30.0,100.0,S,informed,0.13697318007662834,24.64256975050199,2704.472598061298,2679.830028310796,0,0.0,17,2809.2598966179753,143.0,-0.04989090897882326,366.55564090746054,946.5405731960473,1366.733814207288
XAUUSD,30.0,250.0,H,uninformed,0.014367816091954023,24.64256975050199,1364.9819266446116,1340.3393568941092,7,322.99078749949854,24,1663.4676108958488,,,138.53809985077766,457.3571000507909,744.4441569925405
XAUUSD,30.0,250.0,H,informed,0.014367816091954023,24.64256975050199,3841.98018910589,3817.337619355387,4,133.78019040756533,30,3951.2623984014813,,,855.8456932935877,1234.7534677798003,1726.7384582819986
XAUUSD,30.0,250.0,S,uninformed,0.014367816091954023,24.64256975050199,1066.8830745887526,1042.2405048382495,3,189.21059709193318,13,933.6585034514453,15.0,-0.08439353744032374,138.53809985077766,264.1540102663439,639.548394721128
XAUUSD,30.0,250.0,S,informed,0.014367816091954023,24.64256975050199,3543.88133705003,3519.2387672995274,0,0.0,19,3221.4532909570785,15.0,-0.08439353744032374,855.8456932935877,1041.5503779953533,1621.8426960105867
XAUUSD,150.0,10.0,H,uninformed,0.9952107279693486,24.64256975050199,15.147009540756045,-9.495560209745747,274,40128.534607044254,765,40119.04024662789,,,-1424.6089239050161,2199.9591827426307,-784.8458190473614
XAUUSD,150.0,10.0,H,informed,0.9952107279693486,24.64256975050199,154.26393762660155,129.62136787609955,274,40128.534607044254,766,40258.15655793664,,,-1424.6089239050161,2339.076110828476,-784.8458190473614
XAUUSD,150.0,10.0,S,uninformed,0.9952107279693486,24.64256975050199,19.89007910483923,-4.752490645663386,0,0.0,0,0.0,1039.0,-0.004110644101510207,-712.3062984362614,1099.9786754459178,-392.42486765532
XAUUSD,150.0,10.0,S,informed,0.9952107279693486,24.64256975050199,159.00700719068462,134.3644374401821,0,0.0,1,139.1163113087568,1039.0,-0.004110644101510207,-712.3062984362614,1239.0956035317633,-392.42486765532
XAUUSD,150.0,25.0,H,uninformed,0.9645593869731801,24.64256975050199,-290.84988323088623,-315.4924529813885,266,39247.747344319825,741,38932.25312848563,,,-1487.1733232954266,2022.3867648727085,-850.7058945586705
XAUUSD,150.0,25.0,H,informed,0.9645593869731801,24.64256975050199,-151.73295514504068,-176.3755248955432,266,39247.747344319825,742,39071.36943979439,,,-1487.1733232954266,2161.503692958554,-850.7058945586705
XAUUSD,150.0,25.0,S,uninformed,0.9645593869731801,24.64256975050199,-133.11659234157216,-157.7591620920744,0,0.0,0,0.0,1007.0,-0.013817027784727785,-743.5915042752436,1011.1913625629735,-425.35902037980395
XAUUSD,150.0,25.0,S,informed,0.9645593869731801,24.64256975050199,6.000335744273485,-18.642234006228875,0,0.0,1,139.1163113087568,1007.0,-0.013817027784727785,-743.5915042752436,1150.3082906488191,-425.35902037980395
XAUUSD,150.0,50.0,H,uninformed,0.8802681992337165,24.64256975050199,993.3595485759397,968.7169788254372,238,34979.63849086244,683,35948.37187651648,,,-1487.1733232954266,2203.3106451050908,252.5796570157736
XAUUSD,150.0,50.0,H,informed,0.8802681992337165,24.64256975050199,1193.5814841317897,1168.938914381287,238,34979.63849086244,683,36148.5962901651,,,-1487.1733232954266,2342.427573190936,313.68466448577806
XAUUSD,150.0,50.0,S,uninformed,0.8802681992337165,24.64256975050199,547.4426758663114,522.8001061158095,0,0.0,2,76.92030872036645,919.0,-0.010334242789807928,-743.5970908058639,1101.6469007239236,164.75029619774932
XAUUSD,150.0,50.0,S,informed,0.8802681992337165,24.64256975050199,747.6646114221611,723.0220416716594,0,0.0,2,277.14472236898814,919.0,-0.010334242789807928,-743.5970908058639,1240.763828809769,225.8553036677538
XAUUSD,150.0,100.0,H,uninformed,0.6580459770114943,24.64256975050199,1314.2754842677068,1289.6329145172044,174,26174.350927458232,516,27463.878576493793,,,-1281.2053479280357,1880.3416093030576,690.4966531421824
XAUUSD,150.0,100.0,H,informed,0.6580459770114943,24.64256975050199,1771.669409405778,1747.0268396552754,174,26174.350927458232,517,27921.30134576464,,,-1281.2053479280357,2019.4585373889033,1008.7736501944082
XAUUSD,150.0,100.0,S,uninformed,0.6580459770114943,24.64256975050199,722.2598213835556,697.6172516330535,0,0.0,3,105.69763788871245,687.0,-0.10065731072888112,-640.6242472033924,940.1500209044871,398.09147793195837
XAUUSD,150.0,100.0,S,informed,0.6580459770114943,24.64256975050199,1179.6537465216265,1155.0111767711246,0,0.0,4,563.1204071595575,687.0,-0.10065731072888112,-640.6242472033924,1079.2669489903326,716.3684749841841
XAUUSD,150.0,250.0,H,uninformed,0.33045977011494254,24.64256975050199,1803.480958430595,1778.8383886800925,88,12564.578975231409,269,14343.7084011193,,,-695.5722499678645,938.4453404158355,1535.9652982321213
XAUUSD,150.0,250.0,H,informed,0.33045977011494254,24.64256975050199,3117.115863600458,3092.4732938499556,86,12494.022782541128,270,15586.888253130317,,,-170.5831829901436,1348.9029561775874,1914.1535206625122
XAUUSD,150.0,250.0,S,uninformed,0.33045977011494254,24.64256975050199,1119.0822232597875,1094.4396535092842,2,70.55619269027977,10,480.99065127138306,345.0,-0.051251517412785164,-347.8447845694073,504.695151933151,937.5892861455407
XAUUSD,150.0,250.0,S,informed,0.33045977011494254,24.64256975050199,2432.71712842965,2408.0745586791472,0,0.0,11,1724.1705032824007,345.0,-0.051251517412785164,177.14428240831373,915.1527676949026,1315.7775085759308
